Category;Count;;Sub-Category;Count;;Sub-Sub-Category;Count-subcatagory;;Sub-Sub-Sub-Category;Count-Sub-Sub-Sub-Category;;Sub-Sub-Sub-sub-Category;Solution;Solution Main Category;Solution Category;Tag;Link to commit
Inefficient coding for target micro-architecure;58;31,18%;Memory/Data locality;36;19,35%;Intra-thread data locality;32;17,20%;cache locality;13;6,99%;Inefficient data-structure (Use of non-contiguous memory data-structure);Using std:array instead of std:Set;Data structure optimization for data locality;;;https://github.com/CGAL/cgal/commit/28a9cb150ae9b11f9bb37d972be990d87b05cbcf
Inefficient coding for target micro-architecure;;;;;;;;;;;;Inefficient data-structure (Use of non-contiguous memory data-structure);;Data structure optimization for data locality;;;https://github.com/CGAL/cgal/commit/b0379f54bdff8236dee3a429b235167700ba23c0
Inefficient coding for target micro-architecure;;;;;;;;;;;;Inefficient data-structure (Use of non-contiguous memory data-structure);regular memory access;Data structure optimization for data locality;;;https://github.com/mlpack/mlpack/commit/723dea88435686b72359793ace767d0b409635af
Inefficient coding for target micro-architecure;;;;;;;;;;;;Inefficient data-structure (Use of non-contiguous memory data-structure);Using std:vector instead of std:List;Data structure optimization for data locality;;;https://github.com/CGAL/cgal/commit/8855eb54c305ffeaec32cb6bc49bfb0a2e465cc2
Inefficient coding for target micro-architecure;;;;;;;;;;;;avoid memory referenced;;Avoid memory dereference by storing in register;;;https://github.com/lammps/lammps/commit/6c5edf6c709ef1fc9c914ec8049fa41a7fb3a49a
Inefficient coding for target micro-architecure;;;;;;;;;;;;local memory underutilization;Re-enable memory prefetching for AMD;Memory prefetching;;;https://github.com/gromacs/gromacs/commit/001b6e76700a2228a60d28223f7fb37ed5b7d3be
Inefficient coding for target micro-architecure;;;;;;;;;;;;cache locality;;Reorder memory reference to improve temporal locality;;;https://github.com/xianyi/OpenBLAS/commit/45fdf951b64aa9145996727ecda901f00a2eda3c
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Reorder memory reference to improve spatial locality;;;https://github.com/cp2k/cp2k/commit/7b34ac6ca470a6a5a2d71d2027d577b08f0dac92
Inefficient coding for target micro-architecure;;;;;;;;;;;;poor cache utilization;;Reorder memory reference to improve temporal locality;;;https://github.com/FFTW/fftw3/commit/d0b93533d99e69f85e2aaf759989f652311206ac
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Loop fission;;;https://github.com/gromacs/gromacs/commit/95cc614f64ac211696da00204923e387a735a490
Inefficient coding for target micro-architecure;;;;;;;;;;;;Inefficient register use;Explict use of static to use the register;Avoid memory dereference by storing in register;;;https://github.com/FFTW/fftw3/commit/6076339a342b12b0d0cfd9f6d967bfa9fbf6b1b2
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Improve register/cache utilization via blocking;register blocking;;https://github.com/xianyi/OpenBLAS/commit/1b0b4349a11f8de40037d9bddf9ddb9b094cdd2c
Inefficient coding for target micro-architecure;;;;;;;;;;;;cache locality;;Improve register/cache utilization via blocking;;;https://github.com/xianyi/OpenBLAS/commit/a87736346fd3988618c0d8895827566fce5a5487
Inefficient coding for target micro-architecure;;;;;;;;;Memory alignment;1;;memory miss-allignment for vector operation;;Data structure optimization for data locality;memory aligned data-structure;;https://github.com/openmm/openmm/commit/b1be68d873e649ab07ae6c65f017163066373123
Inefficient coding for target micro-architecure;;;;;;;;;GPU Register spilling;3;;Compiler failure;Explicitly use __constant__ to store in GPU constant memory;Explicit use of constant memory;;;https://github.com/lattice/quda/commit/b7857af47ff2e8e8162a250a4adefba55680b1c9
Inefficient coding for target micro-architecure;;;;;;;;;;;;;Explicitly use constant index to avoid register spill by the compiler;Enable compile time evaluation;;unintended compiler optimization, architecture specific;https://github.com/gromacs/gromacs/commit/589e11b78d73fa5a7b34a71bb58f3c304984dc34
Inefficient coding for target micro-architecure;;;;;;;;;;;;unnecessary register use;Efficient implementation to avoid unncessary register usage;Use of data types that reduces computation and memory overhead;;GPU, Architecture specific;https://github.com/gromacs/gromacs/commit/85c36b9a1ca9c62702da2a0d6f97853c9f1d889c
Inefficient coding for target micro-architecure;;;;;;;;;Host-GPU device data communication;2;;unpinned host memory;Send data through pinned host memory (cuMemHostAlloc);Memory pinning;;GPU;https://github.com/openmm/openmm/commit/926e7b9ac11a8614f310b59a2d786788771ccb5b
Inefficient coding for target micro-architecure;;;;;;;;;;;;unnecessary synchronous data copy;asynchronous data copy via kernel initialization;Async data transfer between host and device;;GPU;https://github.com/ginkgo-project/ginkgo/commit/154aafbd57e93e4ede30b1566d2bf03e7c1b096e
Inefficient coding for target micro-architecure;;;;;;;;;GPU memory;13;6,99%;Unnecessarily using global constant memory;;Reduce GPU-global memory access;Use Texture memory instead of global constant memory;GPU;https://github.com/arrayfire/arrayfire/commit/d8d8c439c8d0a43c0f92b11fd06133be80754ab8
Inefficient coding for target micro-architecure;;;;;;;;;;;;;;Reduce GPU-global memory access;;GPU;https://github.com/arrayfire/arrayfire/commit/113cb18160a31d8ee04d11969bc57ff1628bda50
Inefficient coding for target micro-architecure;;;;;;;;;;;;Un-coalesced memory access;Thread-aware data access;Thread-aware data access;;GPU;https://github.com/arrayfire/arrayfire/commit/dd97ce5e041d22cdcb6bf7a66baca51c2491c767
Inefficient coding for target micro-architecure;;;;;;;;;;;;inefficient use of Texture memory;;Avoid using GPU texture memory;;GPU;https://github.com/gromacs/gromacs/commit/3e52c82b8ffa11bfa318396eb8e86cbd0f9b7446
Inefficient coding for target micro-architecure;;;;;;;;;;;;Use of high latency global memory;replaced with low latency shared memory;Reduce GPU-global memory access;;GPU;https://github.com/gromacs/gromacs/commit/8aa14d11ff775055794360a655fe800deea298a8
