Category,Count,,Sub-Category,Count,,Sub-Sub-Category,Count-subcatagory,,Sub-Sub-Sub-Category,Count-Sub-Sub-Sub-Category,,Sub-Sub-Sub-sub-Category,Solution,Solution Main Category,Solution Category,Link to commit
Inefficient coding for target micro-architecure,58,"31,18%",Memory/Data locality,36,"19,35%",Intra-thread data locality,32,"17,20%",cache locality,13,"6,99%",Inefficient data-structure (Use of non-contiguous memory data-structure),Using std:array instead of std:Set,Data structure optimization for data locality,,https://github.com/CGAL/cgal/commit/28a9cb150ae9b11f9bb37d972be990d87b05cbcf
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,Inefficient data-structure (Use of non-contiguous memory data-structure),,Data structure optimization for data locality,,https://github.com/CGAL/cgal/commit/b0379f54bdff8236dee3a429b235167700ba23c0
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,Inefficient data-structure (Use of non-contiguous memory data-structure),regular memory access,Data structure optimization for data locality,,https://github.com/mlpack/mlpack/commit/723dea88435686b72359793ace767d0b409635af
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,Inefficient data-structure (Use of non-contiguous memory data-structure),Using std:vector instead of std:List,Data structure optimization for data locality,,https://github.com/CGAL/cgal/commit/8855eb54c305ffeaec32cb6bc49bfb0a2e465cc2
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,avoid memory referenced,,Avoid memory dereference by storing in register,,https://github.com/lammps/lammps/commit/6c5edf6c709ef1fc9c914ec8049fa41a7fb3a49a
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,local memory underutilization,Re-enable memory prefetching for AMD,Memory prefetching,,https://github.com/gromacs/gromacs/commit/001b6e76700a2228a60d28223f7fb37ed5b7d3be
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,cache locality,,Reorder memory reference to improve temporal locality,,https://github.com/xianyi/OpenBLAS/commit/45fdf951b64aa9145996727ecda901f00a2eda3c
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,,,Reorder memory reference to improve spatial locality,,https://github.com/cp2k/cp2k/commit/7b34ac6ca470a6a5a2d71d2027d577b08f0dac92
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,poor cache utilization,,Reorder memory reference to improve temporal locality,,https://github.com/FFTW/fftw3/commit/d0b93533d99e69f85e2aaf759989f652311206ac
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,,,Loop fission,,https://github.com/gromacs/gromacs/commit/95cc614f64ac211696da00204923e387a735a490
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,Inefficient register use,Explict use of static to use the register,Avoid memory dereference by storing in register,,https://github.com/FFTW/fftw3/commit/6076339a342b12b0d0cfd9f6d967bfa9fbf6b1b2
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,,,Improve register/cache utilization via blocking,register blocking,https://github.com/xianyi/OpenBLAS/commit/1b0b4349a11f8de40037d9bddf9ddb9b094cdd2c
Inefficient coding for target micro-architecure,,,Memory/Data locality,,,Intra-thread data locality,,,cache locality,,,cache locality,,Improve register/cache utilization via blocking,,https://github.com/xianyi/OpenBLAS/commit/a87736346fd3988618c0d8895827566fce5a5487
